SampleID	Replicate	Sample_Type	Species	Shifting	GutSection	Site	Location	FishFeeding	keep	CNAnalyse	Mass	Carbon	Nitrogen	CNRatio	AlgaeContentAnalyse	Algae	Detritus	Animalmatter	Other	FishMetaAnalyse	Std_length 	Fork_length	Total_length	Weight	Otolith_weightL	Otolith_weightR	Log_std_length	Log_weight	FultonsK
X1NU_GW	32	Fish	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	NA	yes	n	NA	NA	NA	NA	y	3.76	95.49	0	0.75	y	185	220	260	297.8	0.0251	0.0255	2.2672	2.4739	1.136
X2NU_GW	33	Fish	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	NA	yes	n	NA	NA	NA	NA	y	1.3	98.45	0.26	0	y	175	205	240	236.9	0.0234	0.0246	2.243	2.3746	1.007
X3NU_GW	34	Fish	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	NA	yes	n	NA	NA	NA	NA	y	1.94	97.78	0	0.28	y	187	210	253	291.9	0.0242	0.0242	2.2718	2.4652	1.09
X4NU_GW	35	Fish	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	NA	yes	n	NA	NA	NA	NA	y	4.17	95.83	0	0	y	200	229	270	351.2	0.0223	0.0217	2.301	2.5456	1.15
X5NU_GW	36	Fish	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	NA	yes	n	NA	NA	NA	NA	y	7.41	92.59	0	0	y	210	240	310	453.7	0.0291	NA	2.3222	2.6568	1.351
X10NU_GW	37	Fish	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	36.32	63.68	0	0	y	245	275	340	478.4	0.0404	0.0399	2.3892	2.6798	1.055
X11NU_GW	38	Fish	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	6.73	93.27	0	0	y	227	262	335	430.6	0.0636	0.06	2.356	2.6341	1.102
X6NU_GW	39	Fish	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	11.36	77.27	0.45	10.91	y	245	275	336	487.9	0.074	0.0725	2.3892	2.6883	1.076
X7NU_GW	40	Fish	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	3.7	96.3	0	0	y	205	237	298	345.5	0.0253	0.0255	2.3118	2.5384	1.079
X8NU_GW	41	Fish	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	19.21	80.79	0	0	y	230	265	355	431.4	0.0508	0.0504	2.3617	2.6349	1.076
X9NU_GW	42	Fish	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	34.33	65.67	0	0	y	200	227	270	NA	0.0281	0.0272	2.301	NA	NA
X1NU_HG	32	Fish	A.nigricauda	Non_shifting	HG	Lagoon_entrance_west	Lagoon	NA	yes	n	NA	NA	NA	NA	n	3.76	95.49	0	0.75	y	185	220	260	297.8	0.0251	0.0255	2.2672	2.4739	1.136
X2NU_HG	33	Fish	A.nigricauda	Non_shifting	HG	Lagoon_entrance_west	Lagoon	NA	yes	n	NA	NA	NA	NA	n	1.3	98.45	0.26	0	y	175	205	240	236.9	0.0234	0.0246	2.243	2.3746	1.007
X3NU_HG	34	Fish	A.nigricauda	Non_shifting	HG	Lagoon_entrance_west	Lagoon	NA	yes	n	NA	NA	NA	NA	n	1.94	97.78	0	0.28	y	187	210	253	291.9	0.0242	0.0242	2.2718	2.4652	1.09
X4NU_HG	35	Fish	A.nigricauda	Non_shifting	HG	Lagoon_entrance_west	Lagoon	NA	yes	n	NA	NA	NA	NA	n	4.17	95.83	0	0	y	200	229	270	351.2	0.0223	0.0217	2.301	2.5456	1.15
X5NU_HG	36	Fish	A.nigricauda	Non_shifting	HG	Lagoon_entrance_west	Lagoon	NA	yes	n	NA	NA	NA	NA	n	7.41	92.59	0	0	y	210	240	310	453.7	0.0291	NA	2.3222	2.6568	1.351
X10NU_HG	37	Fish	A.nigricauda	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	36.32	63.68	0	0	y	245	275	340	478.4	0.0404	0.0399	2.3892	2.6798	1.055
X11NU_HG	38	Fish	A.nigricauda	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	6.73	93.27	0	0	y	227	262	335	430.6	0.0636	0.06	2.356	2.6341	1.102
X6NU_HG	39	Fish	A.nigricauda	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	11.36	77.27	0.45	10.91	y	245	275	336	487.9	0.074	0.0725	2.3892	2.6883	1.076
X7NU_HG	40	Fish	A.nigricauda	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	3.7	96.3	0	0	y	205	237	298	345.5	0.0253	0.0255	2.3118	2.5384	1.079
X8NU_HG	41	Fish	A.nigricauda	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	19.21	80.79	0	0	y	230	265	355	431.4	0.0508	0.0504	2.3617	2.6349	1.076
X9NU_HG	42	Fish	A.nigricauda	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	34.33	65.67	0	0	y	200	227	270	NA	0.0281	0.0272	2.301	NA	NA
X7O_GW	43	Fish	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	13.59	85.33	0	0	y	182	205	240	213.7	0.0126	0.0122	2.2601	2.3298	0.017
X8O_GW	44	Fish	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	38.78	60.71	0.51	0	y	170	195	210	164.9	NA	0.0113	2.2304	2.2172	0.016
X9O_GW	45	Fish	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	21.92	78.08	0	0	y	175	200	225	172.9	0.0119	0.0119	2.243	2.2378	0.015
X10O_GW	46	Fish	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	29.36	63.4	0	7.23	y	226	255	318	381.2	NA	NA	2.3541	2.5812	0.017
X11O_GW	47	Fish	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	20.73	73.98	5.28	0	y	210	244	270	331.1	0.0273	0.0264	2.3222	2.52	0.018
X1O_GW	48	Fish	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	74.06	25.94	0	0	y	220	260	325	390	0.025	NA	2.3424	2.5911	0.018
X2O_GW	49	Fish	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	46.03	52.38	0.79	0.79	y	220	250	320	394.9	0.0204	0.0207	2.3424	2.5965	0.019
X3O_GW	50	Fish	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	40.71	57.86	1.43	0	y	220	260	330	380.7	NA	NA	2.3424	2.5806	0.018
X4O_GW	51	Fish	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	16.03	69.47	0	12.21	y	250	285	358	402.3	0.0375	0.0376	2.3979	2.6046	0.013
X5O_GW	52	Fish	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	53.27	46.23	0	0	y	240	278	350	427.5	0.0205	0.0208	2.3802	2.6309	0.016
X7O_HG	43	Fish	A.olivaceus	Range_shifting	HG	Keyhole	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	13.59	85.33	0	0	y	182	205	240	213.7	0.0126	0.0122	2.2601	2.3298	0.017
X8O_HG	44	Fish	A.olivaceus	Range_shifting	HG	Keyhole	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	38.78	60.71	0.51	0	y	170	195	210	164.9	NA	0.0113	2.2304	2.2172	0.016
X9O_HG	45	Fish	A.olivaceus	Range_shifting	HG	Keyhole	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	21.92	78.08	0	0	y	175	200	225	172.9	0.0119	0.0119	2.243	2.2378	0.015
X10O_HG	46	Fish	A.olivaceus	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	29.36	63.4	0	7.23	y	226	255	318	381.2	NA	NA	2.3541	2.5812	0.017
X11O_HG	47	Fish	A.olivaceus	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	20.73	73.98	5.28	0	y	210	244	270	331.1	0.0273	0.0264	2.3222	2.52	0.018
X1O_HG	48	Fish	A.olivaceus	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	74.06	25.94	0	0	y	220	260	325	390	0.025	NA	2.3424	2.5911	0.018
X2O_HG	49	Fish	A.olivaceus	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	46.03	52.38	0.79	0.79	y	220	250	320	394.9	0.0204	0.0207	2.3424	2.5965	0.019
X3O_HG	50	Fish	A.olivaceus	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	40.71	57.86	1.43	0	y	220	260	330	380.7	NA	NA	2.3424	2.5806	0.018
X4O_HG	51	Fish	A.olivaceus	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	16.03	69.47	0	12.21	y	250	285	358	402.3	0.0375	0.0376	2.3979	2.6046	0.013
X5O_HG	52	Fish	A.olivaceus	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	53.27	46.23	0	0	y	240	278	350	427.5	0.0205	0.0208	2.3802	2.6309	0.016
X10T_GW	53	Fish	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	y	92.36	0	0	7.64	y	130	154	155	103.2	NA	0.0065	2.1139	2.0137	0.034
X11T_GW	54	Fish	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	y	88.57	0	0	11.43	y	130	150	254	101.2	NA	NA	2.1139	2.0052	0.033
X1T_GW	55	Fish	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	y	99.38	0	0	0.62	y	142	165	166	121.3	0.0079	0.0085	2.1523	2.0839	0.032
X2T_GW	56	Fish	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	y	97.83	0	0	2.17	y	167	190	193	192.3	0.0115	0.0113	2.2227	2.284	0.033
X3T_GW	57	Fish	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	y	100	0	0	0	y	188	219	220	270.4	0.02	0.0189	2.2742	2.432	0.034
X4T_GW	58	Fish	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	y	87.88	0	0	12.12	y	141	163	165	113.5	0.0068	0.0059	2.1492	2.055	0.03
X6T_GW	60	Fish	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	y	100	0	0	0	y	150	183	185	176.2	0.0112	0.0099	2.1761	2.246	0.04
X7T_GW	61	Fish	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	y	77	1	2	20	y	162	185	187	161.8	0.0099	0.0098	2.2095	2.209	0.03
X8T_GW	62	Fish	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	y	83.53	0	0	16.47	y	177	204	206	225.4	0.0135	0.0135	2.248	2.353	0.033
X9T_GW	63	Fish	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	y	64.08	0.97	5.83	29.13	y	157	190	195	167.5	0.0118	0.00124	2.1959	2.224	0.034
X11T_HG	54	Fish	A.triostegus	Range_shifting	HG	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	n	88.57	0	0	11.43	y	130	150	254	101.2	NA	NA	2.1139	2.0052	0.033
X1T_HG	55	Fish	A.triostegus	Range_shifting	HG	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	n	99.38	0	0	0.62	y	142	165	166	121.3	0.0079	0.0085	2.1523	2.0839	0.032
X2T_HG	56	Fish	A.triostegus	Range_shifting	HG	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	n	97.83	0	0	2.17	y	167	190	193	192.3	0.0115	0.0113	2.2227	2.284	0.033
