SampleID	Species	Shifting	GutSection	Site	Location	Weight
X5O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	427.5
X6D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	492.9
X6G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	297.7
X6NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	233.1
X6NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	487.9
X6T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	176.2
X7D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	307.1
X7G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	404.4
X7NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	257.4
X7NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	345.5
X7O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	213.7
X7T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	161.8
X8D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	392.3
X8G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	346.4
X8NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	281.3
X8NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	431.4
X8O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	164.9
X8T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	225.4
X9D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	322.8
X9NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	222.3
X9NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA
X9O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	172.9
X9T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	167.5
