StomachContent	SampleID	Species	Shifting	GutSection	Site	Location	Content
Detritus	X5NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	92.59
Detritus	X10NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	63.68
Detritus	X11NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	93.27
Detritus	X6NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	77.27
Detritus	X7NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	96.3
Detritus	X8NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	80.79
Detritus	X9NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	65.67
Detritus	X7O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	85.33
Detritus	X8O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	60.71
Detritus	X9O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	78.08
Detritus	X10O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	63.4
Detritus	X11O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	73.98
Detritus	X1O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	25.94
Detritus	X2O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	52.38
Detritus	X3O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	57.86
Detritus	X4O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	69.47
Detritus	X5O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	46.23
Detritus	X10T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Detritus	X11T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Detritus	X1T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Detritus	X2T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Detritus	X3T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Detritus	X4T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Detritus	X6T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Detritus	X7T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	1
Detritus	X8T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Detritus	X9T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0.97
Detritus	X5T_HG	A.triostegus	Range_shifting	HG	Lagoon_entrance_east	Lagoon	0
Animalmatter	X1B_GW	A.blochii	Non_shifting	GW	Lagoon_entrance_west	Lagoon	0
Animalmatter	X2B_GW	A.blochii	Non_shifting	GW	Lagoon_entrance_west	Lagoon	0
Animalmatter	X5B_GW	A.blochii	Non_shifting	GW	South_Algae_Flats	Outer_reef	0.56
Animalmatter	X10D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	0.29
Animalmatter	X1D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA
Animalmatter	X2D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X3D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X4D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA
Animalmatter	X5D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	1.94
Animalmatter	X6D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X7D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA
Animalmatter	X8D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X9D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X1G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
